largest                  	 JJS	                      0.0 #761
someday                  	  RB	                      0.0 #1296
wholly                   	  RB	                      0.0 #1557
powerful                 	  JJ	                      0.0 #1053
chinese                  	  JJ	                      0.0 #206
smaller                  	 JJR	                      0.0 #1279
continuous               	  JJ	                      0.0 #267
little                   	  JJ	                      0.0 #797
financial                	  JJ	                      0.0 #504
theoretical              	  JJ	                      0.0 #1391
important                	  JJ	                      0.0 #661
significant              	  JJ	                      0.0 #1256
unfair                   	  JJ	                      0.0 #1460
recipient                	  JJ	                      0.0 #1152
carefully                	  RB	                      0.0 #191
spontaneous              	  JJ	                      0.0 #1316
excessive                	  JJ	                      0.0 #450
hawaiian                 	  JJ	                      0.0 #605
troubling                	  JJ	                      0.0 #1425
incompetent              	  JJ	                      0.0 #673
preferably               	  RB	                      0.0 #1064
built-in                 	  JJ	                      0.0 #182
infamous                 	  JJ	                      0.0 #696
seasonal                 	  JJ	                      0.0 #1219
regulatory               	  JJ	                      0.0 #1160
weekly                   	  JJ	                      0.0 #1545
judicious                	  JJ	                      0.0 #750
alarming                 	  JJ	                      0.0 #54
regularly                	  RB	                      0.0 #1159
heavily                  	  RB	                      0.0 #612
cumulative               	  JJ	                      0.0 #297
due                      	  JJ	                      0.0 #373
intelligent              	  JJ	                      0.0 #722
bigger                   	 JJR	                      0.0 #145
substantially            	  RB	                      0.0 #1350
subsequently             	  RB	                      0.0 #1348
tropical                 	  JJ	                      0.0 #1423
mere                     	  JJ	                      0.0 #840
deeper                   	 JJR	                      0.0 #311
perfectly                	  RB	                      0.0 #1009
sustainable              	  JJ	                      0.0 #1373
wholesome                	  JJ	                      0.0 #1556
drought-tolerant         	  JJ	                      0.0 #370
increasingly             	  RB	                      0.0 #677
insensitive              	  JJ	                      0.0 #715
tiny                     	  JJ	                      0.0 #1404
mild                     	  JJ	                      0.0 #851
random                   	  JJ	                      0.0 #1130
unrelated                	  JJ	                      0.0 #1486
non-organic              	  JJ	                      0.0 #923
baseless                 	  JJ	                      0.0 #132
pleased                  	  JJ	                      0.0 #1033
broad                    	  JJ	                      0.0 #177
deliberately             	  RB	                      0.0 #317
whatsoever               	  RB	                      0.0 #1552
late                     	  JJ	                      0.0 #765
obscure                  	  JJ	                      0.0 #951
truly                    	  RB	                      0.0 #1427
probably                 	  RB	                      0.0 #1089
morally                  	  RB	                      0.0 #869
pharmaceutical           	  JJ	                      0.0 #1021
unavailable              	  JJ	                      0.0 #1441
fat                      	  JJ	                      0.0 #487
solid                    	  JJ	                      0.0 #1294
wild-type                	  JJ	                      0.0 #1564
greatest                 	 JJS	                      0.0 #586
genetically-modified     	  JJ	                      0.0 #560
hard-to-detect           	  JJ	                      0.0 #598
swiss                    	  JJ	                      0.0 #1377
thoroughly               	  RB	                      0.0 #1400
red                      	  JJ	                      0.0 #1154
insignificant            	  JJ	                      0.0 #716
horizontal               	  JJ	                      0.0 #634
sufficiently             	  RB	                      0.0 #1358
gm-fed                   	  JJ	                      0.0 #574
national                 	  JJ	                      0.0 #884
funny                    	  JJ	                      0.0 #549
millet                   	  JJ	                      0.0 #853
insufficient             	  JJ	                      0.0 #719
valid                    	  JJ	                      0.0 #1514
persistent               	  JJ	                      0.0 #1013
sadly                    	  RB	                      0.0 #1208
impossible               	  JJ	                      0.0 #663
grand                    	  JJ	                      0.0 #583
equally                  	  RB	                      0.0 #424
personal                 	  JJ	                      0.0 #1014
whole                    	  JJ	                      0.0 #1554
applicable               	  JJ	                      0.0 #97
inappropriate            	  JJ	                      0.0 #670
real-time                	  JJ	                      0.0 #1143
hungry                   	  JJ	                      0.0 #643
unable                   	  JJ	                      0.0 #1436
biotech-derived          	  JJ	                      0.0 #158
scarce                   	  JJ	                      0.0 #1213
sweet                    	  JJ	                      0.0 #1376
advanced                 	  JJ	                      0.0 #37
final                    	  JJ	                      0.0 #502
fast                     	  RB	                      0.0 #481
dire                     	  JJ	                      0.0 #343
successfully             	  RB	                      0.0 #1353
typically                	  RB	                      0.0 #1430
impartial                	  JJ	                      0.0 #658
ge-free                  	  JJ	                      0.0 #554
internationally          	  RB	                      0.0 #733
inbred                   	  JJ	                      0.0 #671
obvious                  	  JJ	                      0.0 #953
select                   	  JJ	                      0.0 #1228
lax                      	  JJ	                      0.0 #770
unnecessarily            	  RB	                      0.0 #1478
namely                   	  RB	                      0.0 #881
potential                	  JJ	                      0.0 #1051
expert                   	  JJ	                      0.0 #458
pathogenic               	  JJ	                      0.0 #1005
limited                  	  JJ	                      0.0 #790
unintentional            	  JJ	                      0.0 #1469
easiest                  	 JJS	                      0.0 #382
statistically            	  RB	                      0.0 #1323
great                    	  JJ	                      0.0 #584
resistant                	  JJ	                      0.0 #1174
separately               	  RB	                      0.0 #1236
compatible               	  JJ	                      0.0 #237
human                    	  JJ	                      0.0 #640
public                   	  JJ	                      0.0 #1114
common                   	  JJ	                      0.0 #233
everywhere               	  RB	                      0.0 #440
ancestral                	  JJ	                      0.0 #74
pancreatic               	  JJ	                      0.0 #995
institutional            	  JJ	                      0.0 #718
serious                  	  JJ	                      0.0 #1237
recessive                	  JJ	                      0.0 #1151
second                   	  JJ	                      0.0 #1220
black                    	  JJ	                      0.0 #163
testicular               	  JJ	                      0.0 #1390
precautionary            	  JJ	                      0.0 #1057
modest                   	  JJ	                      0.0 #864
frequently               	  RB	                      0.0 #536
monthly                  	  JJ	                      0.0 #867
practically              	  RB	                      0.0 #1055
selectable               	  JJ	                      0.0 #1229
extensively              	  RB	                      0.0 #461
irrelevant               	  JJ	                      0.0 #740
incremental              	  JJ	                      0.0 #680
entirely                 	  RB	                      0.0 #417
good                     	  JJ	                      0.0 #578
presumably               	  RB	                      0.0 #1074
thereby                  	  RB	                      0.0 #1394
hence                    	  RB	                      0.0 #615
specially                	  RB	                      0.0 #1311
holistic                 	  JJ	                      0.0 #630
corrupt                  	  JJ	                      0.0 #284
unsubstantiated          	  JJ	                      0.0 #1494
minor                    	  JJ	                      0.0 #856
humanitarian             	  JJ	                      0.0 #641
ever                     	  RB	                      0.0 #438
non-governmental         	  JJ	                      0.0 #921
creative                 	  JJ	                      0.0 #289
capable                  	  JJ	                      0.0 #186
correct                  	  JJ	                      0.0 #281
ubiquitous               	  JJ	                      0.0 #1431
on-line                  	  JJ	                      0.0 #968
oral                     	  JJ	                      0.0 #976
ideally                  	  RB	                      0.0 #646
invasive                 	  JJ	                      0.0 #737
non-bt                   	  JJ	                      0.0 #915
organically              	  RB	                      0.0 #980
absurd                   	  JJ	                      0.0 #14
endless                  	  JJ	                      0.0 #407
outer                    	  JJ	                      0.0 #984
unhealthy                	  JJ	                      0.0 #1465
realistic                	  JJ	                      0.0 #1144
plentiful                	  JJ	                      0.0 #1034
adult                    	  JJ	                      0.0 #36
agrobacterium-mediated   	  JJ	                      0.0 #50
fast                     	  JJ	                      0.0 #482
generally                	  RB	                      0.0 #558
naturally                	  RB	                      0.0 #887
terrible                 	  JJ	                      0.0 #1389
non-toxic                	  JJ	                      0.0 #926
retail                   	  JJ	                      0.0 #1183
on-going                 	  JJ	                      0.0 #967
favorable                	  JJ	                      0.0 #491
proudly                  	  RB	                      0.0 #1109
inconsistent             	  JJ	                      0.0 #675
related                  	  JJ	                      0.0 #1161
uniform                  	  JJ	                      0.0 #1466
traditional              	  JJ	                      0.0 #1414
digestible               	  JJ	                      0.0 #340
voluntarily              	  RB	                      0.0 #1537
certain                  	  JJ	                      0.0 #195
usually                  	  RB	                      0.0 #1513
better                   	 JJR	                      0.0 #143
general                  	  JJ	                      0.0 #557
organic                  	  JJ	                      0.0 #979
early                    	  JJ	                      0.0 #379
specific                 	  JJ	                      0.0 #1313
blind                    	  JJ	                      0.0 #166
closely                  	  RB	                      0.0 #222
conservative             	  JJ	                      0.0 #255
harder                   	 RBR	                      0.0 #599
insect-resistant         	  JJ	                      0.0 #713
prsv-resistant           	  JJ	                      0.0 #1111
adversely                	  RB	                      0.0 #40
widely                   	  RB	                      0.0 #1560
wholesale                	  JJ	                      0.0 #1555
violent                  	  JJ	                      0.0 #1525
unscientific             	  JJ	                      0.0 #1491
homologous               	  JJ	                      0.0 #631
purple                   	  JJ	                      0.0 #1119
wildly                   	  RB	                      0.0 #1565
golden                   	  JJ	                      0.0 #577
regular                  	  JJ	                      0.0 #1158
fetal                    	  JJ	                      0.0 #499
smallest                 	 JJS	                      0.0 #1280
remote                   	  JJ	                      0.0 #1168
transparent              	  JJ	                      0.0 #1420
adverse                  	  JJ	                      0.0 #39
healthier                	 RBR	                      0.0 #609
nontarget                	  JJ	                      0.0 #930
bioavailable             	  JJ	                      0.0 #148
uncontrollable           	  JJ	                      0.0 #1447
permanent                	  JJ	                      0.0 #1011
known                    	  JJ	                      0.0 #756
electronic               	  JJ	                      0.0 #398
elevated                 	  JJ	                      0.0 #399
african                  	  JJ	                      0.0 #45
close                    	  RB	                      0.0 #219
saturated                	  JJ	                      0.0 #1212
yes                      	  RB	                      0.0 #1582
superior                 	  JJ	                      0.0 #1363
circular                 	  JJ	                      0.0 #208
influential              	  JJ	                      0.0 #703
public-private           	  JJ	                      0.0 #1115
religious                	  JJ	                      0.0 #1165
second                   	  RB	                      0.0 #1221
unanswered               	  JJ	                      0.0 #1439
differential             	  JJ	                      0.0 #337
subtle                   	  JJ	                      0.0 #1351
eventual                 	  JJ	                      0.0 #436
net                      	  JJ	                      0.0 #901
anonymous                	  JJ	                      0.0 #79
poorly                   	  RB	                      0.0 #1043
peruvian                 	  JJ	                      0.0 #1016
proud                    	  JJ	                      0.0 #1108
crucial                  	  JJ	                      0.0 #294
pro-biotech              	  JJ	                      0.0 #1086
worse                    	 JJR	                      0.0 #1573
essential                	  JJ	                      0.0 #428
remarkably               	  RB	                      0.0 #1167
epidemic                 	  JJ	                      0.0 #421
longer                   	 JJR	                      0.0 #806
technological            	  JJ	                      0.0 #1385
reasonable               	  JJ	                      0.0 #1146
exclusive                	  JJ	                      0.0 #452
fewer                    	 JJR	                      0.0 #500
shortly                  	  RB	                      0.0 #1251
micro                    	  JJ	                      0.0 #845
democratic               	  JJ	                      0.0 #320
20th                     	  JJ	                      0.0 #1
economically             	  RB	                      0.0 #390
differently              	  RB	                      0.0 #338
higher                   	 JJR	                      0.0 #624
considerable             	  JJ	                      0.0 #256
rampant                  	  JJ	                      0.0 #1129
invalid                  	  JJ	                      0.0 #736
contentious              	  JJ	                      0.0 #264
practical                	  JJ	                      0.0 #1054
outright                 	  JJ	                      0.0 #986
selective                	  JJ	                      0.0 #1230
european                 	  JJ	                      0.0 #434
mature                   	  JJ	                      0.0 #830
imperative               	  JJ	                      0.0 #660
sheer                    	  JJ	                      0.0 #1245
fundamental              	  JJ	                      0.0 #545
brazilian                	  JJ	                      0.0 #171
convinced                	  JJ	                      0.0 #277
mutagenic                	  JJ	                      0.0 #878
benign                   	  JJ	                      0.0 #138
best                     	  RB	                      0.0 #140
greater                  	 JJR	                      0.0 #585
21st                     	  JJ	                      0.0 #2
glyphosate-tolerant      	  JJ	                      0.0 #573
better                   	 RBR	                      0.0 #142
troublesome              	  JJ	                      0.0 #1424
larger                   	 JJR	                      0.0 #760
visible                  	  JJ	                      0.0 #1531
classic                  	  JJ	                      0.0 #211
simplest                 	 JJS	                      0.0 #1262
alike                    	  RB	                      0.0 #56
19th                     	  JJ	                      0.0 #0
indonesian               	  JJ	                      0.0 #690
rice-based               	  JJ	                      0.0 #1186
pest                     	  JJ	                      0.0 #1018
actually                 	  RB	                      0.0 #28
latest                   	 JJS	                      0.0 #768
meaningless              	  JJ	                      0.0 #834
possible                 	  JJ	                      0.0 #1047
meaningful               	  JJ	                      0.0 #833
vigilant                 	  JJ	                      0.0 #1524
2nd                      	  JJ	                      0.0 #3
informal                 	  JJ	                      0.0 #704
rather                   	  RB	                      0.0 #1136
formerly                 	  RB	                      0.0 #523
innovative               	  JJ	                      0.0 #710
untrue                   	  JJ	                      0.0 #1499
much                     	  RB	                      0.0 #872
vast                     	  JJ	                      0.0 #1518
secure                   	  JJ	                      0.0 #1225
tough                    	  JJ	                      0.0 #1411
always                   	  RB	                      0.0 #69
unnecessary              	  JJ	                      0.0 #1479
small                    	  JJ	                      0.0 #1277
cheap                    	  JJ	                      0.0 #201
weak                     	  JJ	                      0.0 #1542
philanthropic            	  JJ	                      0.0 #1022
bright                   	  JJ	                      0.0 #174
broadly                  	  RB	                      0.0 #180
hormonal                 	  JJ	                      0.0 #635
lightly                  	  RB	                      0.0 #785
roundup-resistant        	  JJ	                      0.0 #1199
philippine               	  JJ	                      0.0 #1023
bizarre                  	  JJ	                      0.0 #162
flawed                   	  JJ	                      0.0 #513
simple                   	  JJ	                      0.0 #1261
distant                  	  JJ	                      0.0 #353
directly                 	  RB	                      0.0 #345
artificially             	  RB	                      0.0 #108
psychological            	  JJ	                      0.0 #1113
untreated                	  JJ	                      0.0 #1498
unclear                  	  JJ	                      0.0 #1445
obsolete                 	  JJ	                      0.0 #952
â                        	  RB	                      0.0 #1585
much                     	  JJ	                      0.0 #873
signicantly              	  RB	                      0.0 #1255
furthermore              	  RB	                      0.0 #550
superficial              	  JJ	                      0.0 #1362
ideal                    	  JJ	                      0.0 #645
close                    	  JJ	                      0.0 #220
regardless               	  RB	                      0.0 #1156
carbonic                 	  JJ	                      0.0 #187
therefore                	  RB	                      0.0 #1395
mammalian                	  JJ	                      0.0 #820
unique                   	  JJ	                      0.0 #1471
actual                   	  JJ	                      0.0 #27
concurrent               	  JJ	                      0.0 #250
positive                 	  JJ	                      0.0 #1045
hopefully                	  RB	                      0.0 #633
tolerant                 	  JJ	                      0.0 #1407
case-by-case             	  JJ	                      0.0 #192
worse                    	 RBR	                      0.0 #1574
glyphosate-resistant     	  JJ	                      0.0 #572
prime                    	  JJ	                      0.0 #1081
false                    	  JJ	                      0.0 #473
specic                   	  JJ	                      0.0 #1312
broad-spectrum           	  JJ	                      0.0 #178
high-yielding            	  JJ	                      0.0 #623
accurately               	  RB	                      0.0 #23
socio-economic           	  JJ	                      0.0 #1287
tremendous               	  JJ	                      0.0 #1421
climatic                 	  JJ	                      0.0 #217
indeed                   	  RB	                      0.0 #681
broader                  	 JJR	                      0.0 #179
briefly                  	  RB	                      0.0 #173
incorrect                	  JJ	                      0.0 #676
deeply                   	  RB	                      0.0 #312
eastern                  	  JJ	                      0.0 #384
consistent               	  JJ	                      0.0 #258
light                    	  JJ	                      0.0 #784
regional                 	  JJ	                      0.0 #1157
evident                  	  JJ	                      0.0 #441
strictly                 	  RB	                      0.0 #1335
intact                   	  JJ	                      0.0 #720
incompatible             	  JJ	                      0.0 #672
able                     	  JJ	                      0.0 #7
properly                 	  RB	                      0.0 #1103
bold                     	  JJ	                      0.0 #168
wary                     	  JJ	                      0.0 #1541
recent                   	  JJ	                      0.0 #1148
real                     	  JJ	                      0.0 #1142
rapidly                  	  RB	                      0.0 #1133
mitochondrial            	  JJ	                      0.0 #859
short-term               	  JJ	                      0.0 #1249
ultimate                 	  JJ	                      0.0 #1432
malnourished             	  JJ	                      0.0 #819
additional               	  JJ	                      0.0 #31
worrisome                	  JJ	                      0.0 #1572
parental                 	  JJ	                      0.0 #997
variable                 	  JJ	                      0.0 #1516
heavy                    	  JJ	                      0.0 #613
main                     	  JJ	                      0.0 #814
rigorous                 	  JJ	                      0.0 #1192
thereof                  	  RB	                      0.0 #1396
disabled                 	  JJ	                      0.0 #346
insecticidal             	  JJ	                      0.0 #714
nutritious               	  JJ	                      0.0 #948
traditionally            	  RB	                      0.0 #1415
nutritionally            	  RB	                      0.0 #947
whopping                 	  JJ	                      0.0 #1558
independent              	  JJ	                      0.0 #683
ineffective              	  JJ	                      0.0 #693
chemically               	  RB	                      0.0 #204
alive                    	  JJ	                      0.0 #57
current                  	  JJ	                      0.0 #299
necessarily              	  RB	                      0.0 #893
deep                     	  JJ	                      0.0 #310
military                 	  JJ	                      0.0 #852
safer                    	 JJR	                      0.0 #1211
eld                      	  JJ	                      0.0 #397
liable                   	  JJ	                      0.0 #781
hard                     	  RB	                      0.0 #596
extra                    	  JJ	                      0.0 #464
evolutionary             	  JJ	                      0.0 #443
bioactive                	  JJ	                      0.0 #147
lesser                   	 JJR	                      0.0 #779
transgenic               	  JJ	                      0.0 #1418
british                  	  JJ	                      0.0 #176
indian                   	  JJ	                      0.0 #685
fiscal                   	  JJ	                      0.0 #511
slower                   	 JJR	                      0.0 #1275
ruminal                  	  JJ	                      0.0 #1203
various                  	  JJ	                      0.0 #1517
private                  	  JJ	                      0.0 #1085
biological               	  JJ	                      0.0 #153
developmental            	  JJ	                      0.0 #333
nonprofit                	  JJ	                      0.0 #929
delicate                 	  JJ	                      0.0 #318
domestically             	  RB	                      0.0 #359
neutral                  	  JJ	                      0.0 #902
sexual                   	  JJ	                      0.0 #1242
ultimately               	  RB	                      0.0 #1433
biotechnological         	  JJ	                      0.0 #159
multinational            	  JJ	                      0.0 #876
hot                      	  JJ	                      0.0 #637
systematic               	  JJ	                      0.0 #1379
unwittingly              	  RB	                      0.0 #1503
deficient                	  JJ	                      0.0 #313
fastest                  	 JJS	                      0.0 #486
foreign                  	  JJ	                      0.0 #519
preliminary              	  JJ	                      0.0 #1067
legally                  	  RB	                      0.0 #774
mid                      	  JJ	                      0.0 #849
moreover                 	  RB	                      0.0 #870
secondly                 	  RB	                      0.0 #1223
faster                   	 RBR	                      0.0 #484
finally                  	  RB	                      0.0 #503
high-yield               	  JJ	                      0.0 #622
extreme                  	  JJ	                      0.0 #466
principal                	  JJ	                      0.0 #1082
comparative              	  JJ	                      0.0 #236
north                    	  JJ	                      0.0 #934
biochemical              	  JJ	                      0.0 #149
deceptive                	  JJ	                      0.0 #308
lower                    	 JJR	                      0.0 #810
ridiculous               	  JJ	                      0.0 #1189
repeatedly               	  RB	                      0.0 #1171
optimistic               	  JJ	                      0.0 #975
arbitrary                	  JJ	                      0.0 #103
justified                	  JJ	                      0.0 #752
quite                    	  RB	                      0.0 #1126
allowable                	  JJ	                      0.0 #62
equivalent               	  JJ	                      0.0 #426
genomic                  	  JJ	                      0.0 #561
linolenic                	  JJ	                      0.0 #793
unwanted                 	  JJ	                      0.0 #1501
elsewhere                	  RB	                      0.0 #401
sensitive                	  JJ	                      0.0 #1234
strategic                	  JJ	                      0.0 #1333
urgently                 	  RB	                      0.0 #1509
cheaper                  	 JJR	                      0.0 #202
overwhelming             	  JJ	                      0.0 #991
twice                    	  RB	                      0.0 #1428
immediate                	  JJ	                      0.0 #653
subject                  	  JJ	                      0.0 #1345
brown                    	  JJ	                      0.0 #181
best-selling             	  JJ	                      0.0 #141
dense                    	  JJ	                      0.0 #321
awesome                  	  JJ	                      0.0 #123
perhaps                  	  RB	                      0.0 #1010
newly                    	  RB	                      0.0 #907
desperate                	  JJ	                      0.0 #324
economical               	  JJ	                      0.0 #389
straight                 	  RB	                      0.0 #1329
welcome                  	  JJ	                      0.0 #1547
critically               	  RB	                      0.0 #293
medical                  	  JJ	                      0.0 #838
reckless                 	  JJ	                      0.0 #1153
surrogate                	  JJ	                      0.0 #1371
striking                 	  JJ	                      0.0 #1336
world-wide               	  JJ	                      0.0 #1569
stable                   	  JJ	                      0.0 #1319
kenyan                   	  JJ	                      0.0 #753
prudent                  	  JJ	                      0.0 #1112
no-till                  	  JJ	                      0.0 #912
partly                   	  RB	                      0.0 #1002
unproven                 	  JJ	                      0.0 #1483
bioengineered            	  JJ	                      0.0 #151
middle                   	  JJ	                      0.0 #850
collaborative            	  JJ	                      0.0 #226
specifically             	  RB	                      0.0 #1314
detrimental              	  JJ	                      0.0 #329
greatly                  	  RB	                      0.0 #587
structural               	  JJ	                      0.0 #1342
delicious                	  JJ	                      0.0 #319
measurable               	  JJ	                      0.0 #836
chief                    	  JJ	                      0.0 #205
signicant                	  JJ	                      0.0 #1254
grown                    	  JJ	                      0.0 #591
successive               	  JJ	                      0.0 #1354
urban                    	  JJ	                      0.0 #1507
e-mail                   	  JJ	                      0.0 #376
never                    	  RB	                      0.0 #903
biotech                  	  JJ	                      0.0 #157
forth                    	  RB	                      0.0 #524
misleading               	  JJ	                      0.0 #858
responsibly              	  RB	                      0.0 #1180
objective                	  JJ	                      0.0 #950
many                     	  JJ	                      0.0 #823
royalty-free             	  JJ	                      0.0 #1202
acute                    	  JJ	                      0.0 #29
allegedly                	  RB	                      0.0 #59
unethical                	  JJ	                      0.0 #1456
proper                   	  JJ	                      0.0 #1102
educational              	  JJ	                      0.0 #391
moral                    	  JJ	                      0.0 #868
precious                 	  JJ	                      0.0 #1058
diseased                 	  JJ	                      0.0 #350
corresponding            	  JJ	                      0.0 #283
totally                  	  RB	                      0.0 #1410
frightening              	  JJ	                      0.0 #539
previous                 	  JJ	                      0.0 #1077
industrial               	  JJ	                      0.0 #691
hard                     	  JJ	                      0.0 #597
fine                     	  JJ	                      0.0 #506
virtual                  	  JJ	                      0.0 #1527
constitutive             	  JJ	                      0.0 #262
enough                   	  JJ	                      0.0 #413
international            	  JJ	                      0.0 #732
correctly                	  RB	                      0.0 #282
viral                    	  JJ	                      0.0 #1526
commercial               	  JJ	                      0.0 #230
pregnant                 	  JJ	                      0.0 #1066
civil                    	  JJ	                      0.0 #210
southern                 	  JJ	                      0.0 #1307
along                    	  RB	                      0.0 #65
non-transgenic           	  JJ	                      0.0 #927
rigorously               	  RB	                      0.0 #1193
curious                  	  JJ	                      0.0 #298
large                    	  JJ	                      0.0 #757
irreversible             	  JJ	                      0.0 #743
everyday                 	  JJ	                      0.0 #439
austrian                 	  JJ	                      0.0 #115
individually             	  RB	                      0.0 #689
longer                   	 RBR	                      0.0 #807
freely                   	  RB	                      0.0 #533
graduate                 	  JJ	                      0.0 #582
scary                    	  JJ	                      0.0 #1214
comprehensive            	  JJ	                      0.0 #247
presently                	  RB	                      0.0 #1071
prior                    	  JJ	                      0.0 #1083
desperately              	  RB	                      0.0 #325
mad                      	  JJ	                      0.0 #813
gastric                  	  JJ	                      0.0 #552
immoral                  	  JJ	                      0.0 #655
fake                     	  JJ	                      0.0 #472
dead                     	  JJ	                      0.0 #306
steadily                 	  RB	                      0.0 #1324
vulnerable               	  JJ	                      0.0 #1539
healthful                	  JJ	                      0.0 #607
non-profit               	  JJ	                      0.0 #924
systemic                 	  JJ	                      0.0 #1381
marked                   	  JJ	                      0.0 #826
backwards                	  RB	                      0.0 #126
normally                 	  RB	                      0.0 #933
receptive                	  JJ	                      0.0 #1150
unreliable               	  JJ	                      0.0 #1487
biotic                   	  JJ	                      0.0 #161
fellow                   	  JJ	                      0.0 #495
sharp                    	  JJ	                      0.0 #1244
endogenous               	  JJ	                      0.0 #409
new                      	  JJ	                      0.0 #905
successful               	  JJ	                      0.0 #1352
anymore                  	  RB	                      0.0 #91
external                 	  JJ	                      0.0 #462
scottish                 	  JJ	                      0.0 #1218
anti-ge                  	  JJ	                      0.0 #82
primary                  	  JJ	                      0.0 #1080
conventionally           	  RB	                      0.0 #276
nice                     	  JJ	                      0.0 #910
gmo-free                 	  JJ	                      0.0 #576
minimum                  	  JJ	                      0.0 #855
profoundly               	  RB	                      0.0 #1096
respective               	  JJ	                      0.0 #1176
yearly                   	  JJ	                      0.0 #1580
expensive                	  JJ	                      0.0 #456
busy                     	  JJ	                      0.0 #183
almost                   	  RB	                      0.0 #63
hardly                   	  RB	                      0.0 #601
rural                    	  JJ	                      0.0 #1204
universal                	  JJ	                      0.0 #1472
disruptive               	  JJ	                      0.0 #352
nevertheless             	  RB	                      0.0 #904
nicotinyl                	  JJ	                      0.0 #911
precise                  	  JJ	                      0.0 #1059
awful                    	  JJ	                      0.0 #124
complicated              	  JJ	                      0.0 #245
metabolic                	  JJ	                      0.0 #842
abiotic                  	  JJ	                      0.0 #6
nucleic                  	  JJ	                      0.0 #944
formal                   	  JJ	                      0.0 #521
pre-market               	  JJ	                      0.0 #1056
mechanical               	  JJ	                      0.0 #837
huge                     	  JJ	                      0.0 #639
automatically            	  RB	                      0.0 #117
illegally                	  RB	                      0.0 #652
anti-biotechnology       	  JJ	                      0.0 #81
easier                   	 JJR	                      0.0 #381
indigenous               	  JJ	                      0.0 #686
officially               	  RB	                      0.0 #959
reproductive             	  JJ	                      0.0 #1172
haphazardly              	  RB	                      0.0 #594
anti-gmo                 	  JJ	                      0.0 #84
strong                   	  JJ	                      0.0 #1338
feasible                 	  JJ	                      0.0 #493
infested                 	  JJ	                      0.0 #700
corporate                	  JJ	                      0.0 #280
hazardous                	  JJ	                      0.0 #606
slight                   	  JJ	                      0.0 #1272
restricted               	  JJ	                      0.0 #1181
sooner                   	 RBR	                      0.0 #1302
herbicide-resistant      	  JJ	                      0.0 #616
actively                 	  RB	                      0.0 #26
gradual                  	  JJ	                      0.0 #580
90-day                   	  JJ	                      0.0 #4
slow                     	  JJ	                      0.0 #1274
original                 	  JJ	                      0.0 #981
enough                   	  RB	                      0.0 #414
rare                     	  JJ	                      0.0 #1134
nearby                   	  RB	                      0.0 #890
documented               	  JJ	                      0.0 #357
first                    	  RB	                      0.0 #510
mixed                    	  JJ	                      0.0 #860
sensible                 	  JJ	                      0.0 #1233
tax-deductible           	  JJ	                      0.0 #1382
vital                    	  JJ	                      0.0 #1534
complex                  	  JJ	                      0.0 #244
protective               	  JJ	                      0.0 #1107
mexican                  	  JJ	                      0.0 #844
back                     	  RB	                      0.0 #125
bad                      	  JJ	                      0.0 #128
honest                   	  JJ	                      0.0 #632
historic                 	  JJ	                      0.0 #627
best                     	 JJS	                      0.0 #139
soluble                  	  JJ	                      0.0 #1295
recently                 	  RB	                      0.0 #1149
nationwide               	  JJ	                      0.0 #885
urgent                   	  JJ	                      0.0 #1508
surely                   	  RB	                      0.0 #1368
young                    	  JJ	                      0.0 #1584
adaptive                 	  JJ	                      0.0 #30
agronomic                	  JJ	                      0.0 #52
front                    	  JJ	                      0.0 #540
several                  	  JJ	                      0.0 #1239
local                    	  JJ	                      0.0 #799
pesticidal               	  JJ	                      0.0 #1020
key                      	  JJ	                      0.0 #754
irreparable              	  JJ	                      0.0 #741
continually              	  RB	                      0.0 #265
useful                   	  JJ	                      0.0 #1510
greedy                   	  JJ	                      0.0 #588
particularly             	  RB	                      0.0 #1001
dramatic                 	  JJ	                      0.0 #367
concerned                	  JJ	                      0.0 #249
shorter                  	 JJR	                      0.0 #1250
harsh                    	  JJ	                      0.0 #604
considerably             	  RB	                      0.0 #257
functional               	  JJ	                      0.0 #544
untested                 	  JJ	                      0.0 #1497
widespread               	  JJ	                      0.0 #1562
joint                    	  JJ	                      0.0 #748
sound                    	  JJ	                      0.0 #1305
nonetheless              	  RB	                      0.0 #928
reasonably               	  RB	                      0.0 #1147
biodegradable            	  JJ	                      0.0 #150
politically              	  RB	                      0.0 #1037
absolute                 	  JJ	                      0.0 #11
exaggerated              	  JJ	                      0.0 #447
ethically                	  RB	                      0.0 #432
absolutely               	  RB	                      0.0 #12
early                    	  RB	                      0.0 #380
literally                	  RB	                      0.0 #795
fantastic                	  JJ	                      0.0 #476
russian                  	  JJ	                      0.0 #1205
frequent                 	  JJ	                      0.0 #535
impending                	  JJ	                      0.0 #659
unfortunately            	  RB	                      0.0 #1463
warm                     	  JJ	                      0.0 #1540
undesirable              	  JJ	                      0.0 #1452
entire                   	  JJ	                      0.0 #416
healthy                  	  JJ	                      0.0 #610
personally               	  RB	                      0.0 #1015
extensive                	  JJ	                      0.0 #460
likewise                 	  RB	                      0.0 #789
long                     	  JJ	                      0.0 #803
intense                  	  JJ	                      0.0 #724
worst                    	 JJS	                      0.0 #1575
alternative              	  JJ	                      0.0 #67
effectively              	  RB	                      0.0 #393
knowledgeable            	  JJ	                      0.0 #755
nowhere                  	  RB	                      0.0 #941
toxic                    	  JJ	                      0.0 #1412
caloric                  	  JJ	                      0.0 #184
healthier                	 JJR	                      0.0 #608
